13351,5,bESGLojNYSo,2,lady gaga,5,poker face,glue,314,I'm not lying I'm just stunning with my love __ gunnin',Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,149370,152890,3520,0,
13352,8,Ahha3Cqe_fk,3,Katy Perry,8,the one that got away,clue,556,Talk about our future like we had a __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,20650,24760,4110,0,
13353,8,Ahha3Cqe_fk,3,Katy Perry,8,the one that got away,blues,570,"Saw you downtown, singing the __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,79710,83400,3690,0,
13354,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,true,1037,"Honey, is that __?",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,74520,78910,4390,0,
13355,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,blue,1047,Kissing in the __ dark,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,113410,115720,2310,0,
13356,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,true,1066,"Honey, is that __?",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,162620,164610,1990,0,
13357,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,true,1080,"Honey, is that __?",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,220140,223610,3470,0,
13358,16,Py_-3di1yx0,6,Lana Del Rey,16,ride,blues,1087,Singing __ has been getting old,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,44040,51110,7070,1,
13359,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,true,1748,You know you can make my wish come __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,45740,49690,3950,0,
13360,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,blue,1753,A girl like you should never live so __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,64920,68850,3930,0,
13361,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,true,1755,I wouldn't say that to you if it wasn't __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,73790,76710,2920,0,
