k0BWlvnBmIE,Katy Perry,Wide Awake,everything,That __ you see,26830,28360,1530,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,Everything,__ I do,58350,61390,3040,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,Everything,__ I do,144670,147650,2980,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
cE6wxDqdOV0,Lana Del Rey,Video Games,Everything,__ I do,203530,206450,2920,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,anything,That __ could happen,49790,52350,2560,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,52350,54600,2250,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,54600,56890,2290,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,56890,59220,2330,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,59220,61510,2290,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,61510,63950,2440,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could,63950,84600,20650,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,anything,That __ could happen,114930,117590,2660,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,117590,119680,2090,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,119680,122040,2360,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,122040,124400,2360,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,124400,126730,2330,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,126730,129030,2300,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could,129030,148380,19350,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,everything,"Baby, I'll give you __ you need",148380,156290,7910,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,everything,"I'll give you __ you need, oh",156290,160900,4610,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,everything,I'll give you __ you need,160900,165630,4730,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,anything,That __ could happen,208300,210730,2430,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,210730,212970,2240,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,212970,215330,2360,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,215330,217530,2200,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,217530,219900,2370,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could happen,219900,222390,2490,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
5hzgS9s-tE8,Ellie Goulding,Anything Could Happen,Anything,__ could,222390,223640,1250,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
nPvuNsRccVw,Bruno Mars,Treasure,everything,You're __ I see in my dreams,68850,73790,4940,0,Feature_Has_Phoneme_Ih_Spelled_Y_Not_End,sounds_ih_iy,sounds_ih_iy,,,,,,
