1590,8,Ahha3Cqe_fk,3,Katy Perry,8,the one that got away,money,582,"All this __ can't buy me a time machine, no",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,134890,142600,7710,0,
1591,9,XjwZAa2EjKA,3,Katy Perry,9,unconditionally,key,629,Acceptance is the __ to be,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,143850,149580,5730,0,
1592,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,Honey,1037,"__, is that true?",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,74520,78910,4390,0,
1593,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,Honey,1066,"__, is that true?",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,162620,164610,1990,0,
1594,15,cE6wxDqdOV0,6,Lana Del Rey,15,video games,Honey,1080,"__, is that true?",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,220140,223610,3470,0,
1595,17,nVjsGKrE6E8,6,Lana Del Rey,17,summertime sadness,Honey,1143,__ I'm on fire I feel it everywhere,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,58990,63320,4330,0,
1596,17,nVjsGKrE6E8,6,Lana Del Rey,17,summertime sadness,Honey,1163,__ I'm on fire I feel it everywhere,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,127660,132060,4400,0,
1597,21,5jlI4uzZGjU,8,pitbull,21,feel this moment,money,1383,"Ask for __, and get advice",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,0,3050,3050,0,
1598,21,5jlI4uzZGjU,8,pitbull,21,feel this moment,money,1384,"Ask for advice, get __ twice",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,3050,6430,3380,0,
1599,21,5jlI4uzZGjU,8,pitbull,21,feel this moment,money,1412,"Meet and greet, nice to meet ya, but time is __",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,91340,94620,3280,0,
1600,21,5jlI4uzZGjU,8,pitbull,21,feel this moment,money,1435,Time is __,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,161900,163220,1320,0,
1601,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,Honey,1747,__ you're my golden star,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,40720,45740,5020,0,
1602,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,Honey,1761,__ you're my golden star,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,99620,103390,3770,0,
1603,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,Honey,1772,__ you're my golden star,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,140460,144450,3990,0,
1604,36,Ys7-6_t7OEQ,14,Justin Bieber,37,beauty and a beat,Money,2412,"Young __, Nicki Minaj, Justin",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,94610,104040,9430,1,
1605,37,4GuqB1BQVr4,14,Justin Bieber,38,boyfriend,money,2464,I got __ in my hands that I'd really like to blow,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,16300,18710,2410,0,
1606,55,Ob7vObnFUJc,23,BeyoncГ€,56,love on top,Honey,3315,__ honey,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,20340,22130,1790,0,
1607,55,Ob7vObnFUJc,23,BeyoncГ€,56,love on top,honey,3315,Honey __,Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,20340,22130,1790,0,
1608,88,6cfCgLgiFDM,40,Christina Aguilera,89,your body,key,5118,"So open the box, don't need no __ I'm unlocked",Feature_Has_Phoneme_Iy_Spelled_Ey,sounds_ih_iy,sounds_ih_iy,19270,23390,4120,0,
